instant,dateday,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count,season_labels,actual_temp,weather_labels
1,2011-01-01,1,0,Jan,0,,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,14.110847,Mist
2,2011-01-02,1,0,Jan,0,,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,14.902598000000001,Mist
3,2011-01-03,1,0,Jan,0,,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,8.050924,Clear
4,2011-01-04,1,0,Jan,0,,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,8.200000000000001,Clear
5,2011-01-05,1,0,Jan,0,,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,9.305237,Clear
6,2011-01-06,1,0,Jan,0,,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Springer,8.378268,Clear
7,2011-01-07,1,0,Jan,0,,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Springer,8.057402,Mist
8,2011-01-08,1,0,Jan,0,,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Springer,6.765000000000001,Mist
9,2011-01-09,1,0,Jan,0,,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Springer,5.671653,Clear
10,2011-01-10,1,0,Jan,0,,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Springer,6.184153,Clear
11,2011-01-11,1,0,Jan,0,,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Springer,6.9327309999999995,Mist
12,2011-01-12,1,0,Jan,0,,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Springer,7.0818069999999995,Clear
13,2011-01-13,1,0,Jan,0,,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Springer,6.765000000000001,Clear
14,2011-01-14,1,0,Jan,0,,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Springer,6.59567,Clear
15,2011-01-15,1,0,Jan,0,,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Springer,9.566653,Mist
16,2011-01-16,1,0,Jan,0,,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Springer,9.498347,Clear
17,2011-01-17,1,0,Jan,1,,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Springer,7.209153,Mist
18,2011-01-18,1,0,Jan,0,,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Springer,8.883347,Mist
19,2011-01-19,1,0,Jan,0,,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Springer,11.979134,Mist
20,2011-01-20,1,0,Jan,0,,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Springer,10.728347,Mist
21,2011-01-21,1,0,Jan,0,,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Springer,7.2775,Clear
22,2011-01-22,1,0,Jan,0,,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Springer,2.4243464,Clear
23,2011-01-23,1,0,Jan,0,,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Springer,3.9573897000000002,Clear
24,2011-01-24,1,0,Jan,0,,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Springer,3.9930433,Clear
25,2011-01-25,1,0,Jan,0,,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Springer,9.162598000000001,Mist
26,2011-01-26,1,0,Jan,0,,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Springer,8.9175,Light Rain
27,2011-01-27,1,0,Jan,0,,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Springer,7.995,Clear
28,2011-01-28,1,0,Jan,0,,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Springer,8.342597999999999,Mist
29,2011-01-29,1,0,Jan,0,,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Springer,8.057402,Clear
30,2011-01-30,1,0,Jan,0,,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Springer,8.877402,Clear
31,2011-01-31,1,0,Jan,0,,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Springer,7.414153,Mist
32,2011-02-01,1,0,Feb,0,,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Springer,7.8791340000000005,Mist
33,2011-02-02,1,0,Feb,0,,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Springer,10.66,Mist
34,2011-02-03,1,0,Feb,0,,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Springer,7.665237,Clear
35,2011-02-04,1,0,Feb,0,,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Springer,8.663464,Mist
36,2011-02-05,1,0,Feb,0,,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Springer,9.566653,Mist
37,2011-02-06,1,0,Feb,0,,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Springer,11.719153,Clear
38,2011-02-07,1,0,Feb,0,,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Springer,11.138347,Clear
39,2011-02-08,1,0,Feb,0,,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Springer,9.054153,Clear
40,2011-02-09,1,0,Feb,0,,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Springer,5.526102999999999,Mist
41,2011-02-10,1,0,Feb,0,,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Springer,5.918268,Clear
42,2011-02-11,1,0,Feb,0,,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Springer,7.752731000000001,Clear
43,2011-02-12,1,0,Feb,0,,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Springer,9.1225,Clear
44,2011-02-13,1,0,Feb,0,,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Springer,12.977402000000001,Clear
45,2011-02-14,1,0,Feb,0,,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Springer,17.015,Clear
46,2011-02-15,1,0,Feb,0,,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Springer,10.909567000000001,Clear
47,2011-02-16,1,0,Feb,0,,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Springer,13.048701000000001,Clear
48,2011-02-17,1,0,Feb,0,,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Springer,17.869153,Clear
49,2011-02-18,1,0,Feb,0,,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Springer,21.388347,Clear
50,2011-02-19,1,0,Feb,0,,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Springer,16.365847,Clear
51,2011-02-20,1,0,Feb,0,,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Springer,11.693897,Clear
52,2011-02-21,1,0,Feb,1,,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Springer,12.436653000000002,Mist
53,2011-02-22,1,0,Feb,0,,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Springer,7.471102,Clear
54,2011-02-23,1,0,Feb,0,,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Springer,9.091299,Clear
55,2011-02-24,1,0,Feb,0,,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Springer,12.121732000000002,Mist
56,2011-02-25,1,0,Feb,0,,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Springer,14.938268,Mist
57,2011-02-26,1,0,Feb,0,,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Springer,11.5825,Clear
58,2011-02-27,1,0,Feb,0,,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Springer,14.082598,Clear
59,2011-02-28,1,0,Feb,0,,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Springer,16.698193,Mist
60,2011-03-01,1,0,Mar,0,,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Springer,10.933347,Clear
61,2011-03-02,1,0,Mar,0,,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Springer,13.735000000000001,Clear
62,2011-03-03,1,0,Mar,0,,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Springer,8.131653,Clear
63,2011-03-04,1,0,Mar,0,,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Springer,10.728347,Mist
64,2011-03-05,1,0,Mar,0,,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Springer,15.750846999999998,Mist
65,2011-03-06,1,0,Mar,0,,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Springer,15.437402,Mist
66,2011-03-07,1,0,Mar,0,,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Springer,10.731299,Clear
67,2011-03-08,1,0,Mar,0,,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Springer,11.9925,Clear
68,2011-03-09,1,0,Mar,0,,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Springer,12.129153,Mist
69,2011-03-10,1,0,Mar,0,,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Springer,15.952731,Light Rain
70,2011-03-11,1,0,Mar,0,,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Springer,12.977402000000001,Mist
71,2011-03-12,1,0,Mar,0,,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Springer,13.495847,Clear
72,2011-03-13,1,0,Mar,0,,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Springer,15.758268000000001,Clear
73,2011-03-14,1,0,Mar,0,,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Springer,13.333896999999999,Clear
74,2011-03-15,1,0,Mar,0,,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Springer,13.013031,Mist
75,2011-03-16,1,0,Mar,0,,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Springer,14.973897000000001,Mist
76,2011-03-17,1,0,Mar,0,,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Springer,17.015,Clear
77,2011-03-18,1,0,Mar,0,,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Springer,22.14,Clear
78,2011-03-19,1,0,Mar,0,,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Springer,19.3725,Clear
79,2011-03-20,1,0,Mar,0,,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Springer,13.6325,Clear
80,2011-03-21,2,0,Mar,0,,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Summer,17.647835,Mist
81,2011-03-22,2,0,Mar,0,,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Summer,18.108347,Clear
82,2011-03-23,2,0,Mar,0,,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Summer,14.225237,Mist
83,2011-03-24,2,0,Mar,0,,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Summer,11.684999999999999,Mist
84,2011-03-25,2,0,Mar,0,,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Summer,10.830846999999999,Clear
85,2011-03-26,2,0,Mar,0,,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Summer,10.899153,Clear
86,2011-03-27,2,0,Mar,0,,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Summer,10.374763000000002,Mist
87,2011-03-28,2,0,Mar,0,,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Summer,10.838268000000001,Clear
88,2011-03-29,2,0,Mar,0,,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Summer,12.4025,Clear
89,2011-03-30,2,0,Mar,0,,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Summer,12.299999999999999,Mist
90,2011-03-31,2,0,Mar,0,,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Summer,11.001653,Light Rain
91,2011-04-01,2,0,Apr,0,,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Summer,12.299999999999999,Mist
92,2011-04-02,2,0,Apr,0,,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Summer,12.915000000000001,Mist
93,2011-04-03,2,0,Apr,0,,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Summer,15.511652999999999,Clear
94,2011-04-04,2,0,Apr,0,,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Summer,23.506653,Clear
95,2011-04-05,2,0,Apr,0,,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Summer,16.980847,Mist
96,2011-04-06,2,0,Apr,0,,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Summer,16.024153,Clear
97,2011-04-07,2,0,Apr,0,,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Summer,17.9375,Clear
98,2011-04-08,2,0,Apr,0,,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Summer,13.769153,Mist
99,2011-04-09,2,0,Apr,0,,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Summer,14.0425,Mist
100,2011-04-10,2,0,Apr,0,,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Summer,17.493347,Mist
101,2011-04-11,2,0,Apr,0,,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Summer,24.421732,Mist
102,2011-04-12,2,0,Apr,0,,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Summer,20.6025,Mist
103,2011-04-13,2,0,Apr,0,,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Summer,16.912499999999998,Mist
104,2011-04-14,2,0,Apr,0,,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Summer,19.1675,Clear
105,2011-04-15,2,0,Apr,1,,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Summer,18.313347,Clear
106,2011-04-16,2,0,Apr,0,,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Summer,17.664153000000002,Light Rain
107,2011-04-17,2,0,Apr,0,,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Summer,18.723347,Clear
108,2011-04-18,2,0,Apr,0,,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Summer,21.0125,Clear
109,2011-04-19,2,0,Apr,0,,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Summer,20.739152999999998,Mist
110,2011-04-20,2,0,Apr,0,,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Summer,24.395,Clear
111,2011-04-21,2,0,Apr,0,,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Summer,18.825847,Clear
112,2011-04-22,2,0,Apr,0,,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Summer,13.803347,Mist
113,2011-04-23,2,0,Apr,0,,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Summer,18.86,Mist
114,2011-04-24,2,0,Apr,0,,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Summer,23.848347,Mist
115,2011-04-25,2,0,Apr,0,,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Summer,24.873347,Clear
116,2011-04-26,2,0,Apr,0,,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Summer,25.898346999999998,Clear
117,2011-04-27,2,0,Apr,0,,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Summer,25.419999999999998,Mist
118,2011-04-28,2,0,Apr,0,,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Summer,25.317500000000003,Mist
119,2011-04-29,2,0,Apr,0,,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Summer,20.91,Clear
120,2011-04-30,2,0,Apr,0,,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Summer,19.3725,Clear
121,2011-05-01,2,0,May,0,,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Summer,18.518347,Mist
122,2011-05-02,2,0,May,0,,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Summer,22.515846999999997,Mist
123,2011-05-03,2,0,May,0,,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Summer,25.283347,Mist
124,2011-05-04,2,0,May,0,,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Summer,16.980847,Mist
125,2011-05-05,2,0,May,0,,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Summer,18.825847,Clear
126,2011-05-06,2,0,May,0,,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Summer,19.645847,Clear
127,2011-05-07,2,0,May,0,,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Summer,21.32,Clear
128,2011-05-08,2,0,May,0,,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Summer,21.661653,Clear
129,2011-05-09,2,0,May,0,,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Summer,21.8325,Clear
130,2011-05-10,2,0,May,0,,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Summer,21.8325,Clear
131,2011-05-11,2,0,May,0,,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Summer,22.2425,Clear
132,2011-05-12,2,0,May,0,,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Summer,21.935000000000002,Clear
133,2011-05-13,2,0,May,0,,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Summer,21.0125,Mist
134,2011-05-14,2,0,May,0,,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Summer,21.354153,Mist
135,2011-05-15,2,0,May,0,,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Summer,23.0625,Mist
136,2011-05-16,2,0,May,0,,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Summer,23.677500000000002,Clear
137,2011-05-17,2,0,May,0,,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Summer,23.028347,Mist
138,2011-05-18,2,0,May,0,,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Summer,22.55,Mist
139,2011-05-19,2,0,May,0,,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Summer,21.764153,Mist
140,2011-05-20,2,0,May,0,,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Summer,22.003347,Clear
141,2011-05-21,2,0,May,0,,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Summer,24.7025,Clear
142,2011-05-22,2,0,May,0,,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Summer,24.770847,Clear
143,2011-05-23,2,0,May,0,,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Summer,25.898346999999998,Mist
144,2011-05-24,2,0,May,0,,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Summer,27.060000000000002,Mist
145,2011-05-25,2,0,May,0,,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Summer,27.094153,Clear
146,2011-05-26,2,0,May,0,,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Summer,29.041653,Clear
147,2011-05-27,2,0,May,0,,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Summer,27.948347000000002,Clear
148,2011-05-28,2,0,May,0,,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Summer,26.889153,Clear
149,2011-05-29,2,0,May,0,,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Summer,27.3675,Clear
150,2011-05-30,2,0,May,1,,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Summer,30.066653000000002,Clear
151,2011-05-31,2,0,May,0,,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Summer,31.775000000000002,Clear
152,2011-06-01,2,0,Jun,0,,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Summer,31.330847000000002,Mist
153,2011-06-02,2,0,Jun,0,,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Summer,29.314999999999998,Clear
154,2011-06-03,2,0,Jun,0,,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Summer,25.419999999999998,Clear
155,2011-06-04,2,0,Jun,0,,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Summer,26.035,Clear
156,2011-06-05,2,0,Jun,0,,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Summer,26.581653000000003,Mist
157,2011-06-06,2,0,Jun,0,,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Summer,27.811653,Clear
158,2011-06-07,2,0,Jun,0,,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Summer,29.0075,Clear
159,2011-06-08,2,0,Jun,0,,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Summer,31.809153,Clear
160,2011-06-09,2,0,Jun,0,,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Summer,33.141653,Mist
161,2011-06-10,2,0,Jun,0,,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Summer,30.955000000000002,Clear
162,2011-06-11,2,0,Jun,0,,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Summer,29.724999999999998,Clear
163,2011-06-12,2,0,Jun,0,,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Summer,28.392500000000002,Clear
164,2011-06-13,2,0,Jun,0,,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Summer,26.035,Clear
165,2011-06-14,2,0,Jun,0,,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Summer,24.770847,Clear
166,2011-06-15,2,0,Jun,0,,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Summer,25.693347,Clear
167,2011-06-16,2,0,Jun,0,,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Summer,25.761653000000003,Mist
168,2011-06-17,2,0,Jun,0,,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,Summer,26.615847000000002,Clear
169,2011-06-18,2,0,Jun,0,,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,Summer,28.563347,Clear
170,2011-06-19,2,0,Jun,0,,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,Summer,28.665847,Mist
171,2011-06-20,2,0,Jun,0,,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,Summer,26.035,Mist
172,2011-06-21,3,0,Jun,0,,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,Fall,27.914153000000002,Mist
173,2011-06-22,3,0,Jun,0,,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,Fall,30.066653000000002,Clear
174,2011-06-23,3,0,Jun,0,,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,Fall,29.861653,Mist
175,2011-06-24,3,0,Jun,0,,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Fall,29.690847,Clear
176,2011-06-25,3,0,Jun,0,,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Fall,28.494999999999997,Clear
177,2011-06-26,3,0,Jun,0,,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Fall,27.880000000000003,Clear
178,2011-06-27,3,0,Jun,0,,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Fall,27.982499999999998,Mist
179,2011-06-28,3,0,Jun,0,,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Fall,30.510847000000002,Clear
180,2011-06-29,3,0,Jun,0,,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Fall,29.861653,Clear
181,2011-06-30,3,0,Jun,0,,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,Fall,28.563347,Clear
